Operation,Index,Time(ns),Operations
Delete,726,2100,26
Delete,727,2600,28
Delete,728,1700,24
Delete,729,2100,28
Delete,730,2100,26
Delete,731,1700,26
Delete,732,1700,28
Delete,733,1600,26
Delete,734,1400,24
Delete,735,1500,26
Delete,736,1900,30
Delete,737,2200,28
Delete,738,1700,26
Delete,739,2100,30
Delete,740,1400,24
Delete,741,1700,24
Delete,742,2000,30
Delete,743,2200,30
Delete,744,1700,26
Delete,745,1800,28
Delete,746,1500,24
Delete,747,2900,26
Delete,748,2300,26
Delete,749,2500,26
Delete,750,3400,26
Delete,751,1600,24
Delete,752,2100,24
Delete,753,3900,28
Delete,754,2000,26
Delete,755,2000,26
Delete,756,3900,26
Delete,757,1200,20
Delete,758,2200,22
Delete,759,2200,26
Delete,760,2700,30
Delete,761,2800,26
Delete,762,2900,24
Delete,763,2000,28
Delete,764,2800,30
Delete,765,2800,28
Delete,766,2500,26
Delete,767,2000,28
Delete,768,4000,30
Delete,769,3500,28
Delete,770,2600,30
Delete,771,2300,26
Delete,772,2100,26
Delete,773,2000,28
Delete,774,2500,26
Delete,775,2100,24
Delete,776,2400,26
Delete,777,2300,26
Delete,778,2300,26
Delete,779,2300,30
Delete,780,2600,28
Delete,781,2400,28
Delete,782,1900,28
Delete,783,5800,24
Delete,784,2400,26
Delete,785,2200,26
Delete,786,2200,24
Delete,787,2100,26
Delete,788,2400,30
Delete,789,2000,26
Delete,790,1800,28
Delete,791,2200,30
Delete,792,19800,28
Delete,793,2900,30
Delete,794,1900,24
Delete,795,2400,28
Delete,796,2000,28
Delete,797,1700,24
Delete,798,2000,28
Delete,799,2600,26
Delete,800,2300,26
Delete,801,2500,26
Delete,802,1400,26
Delete,803,1500,26
Delete,804,1800,26
Delete,805,2300,30
Delete,806,2100,28
Delete,807,2700,30
Delete,808,1900,24
Delete,809,3100,26
Delete,810,2700,30
Delete,811,2300,26
Delete,812,1800,26
Delete,813,1900,30
Delete,814,1400,22
Delete,815,1700,26
Delete,816,2000,26
Delete,817,3700,32
Delete,818,1800,22
Delete,819,2000,26
Delete,820,2500,26
Delete,821,2500,24
Delete,822,1700,24
Delete,823,2300,24
Delete,824,4300,30
Delete,825,1900,26
Delete,826,1800,28
Delete,827,2900,24
Delete,828,2900,26
Delete,829,4800,28
Delete,830,2800,30
Delete,831,2000,28
Delete,832,2800,28
Delete,833,3200,24
Delete,834,2400,34
Delete,835,2200,26
Delete,836,1900,26
Delete,837,1900,28
Delete,838,2700,28
Delete,839,3300,24
Delete,840,1800,24
Delete,841,1900,26
