Operation,Index,Time(ns),Operations
Insert,721,700,21
Insert,722,500,19
Insert,723,500,19
Insert,724,800,25
Insert,725,500,17
Insert,726,600,21
Insert,727,600,23
Insert,728,500,21
Insert,729,600,23
Insert,730,600,23
Insert,731,600,21
Insert,732,600,23
Insert,733,600,23
Insert,734,600,21
Insert,735,600,21
Insert,736,500,17
Insert,737,600,21
Insert,738,600,21
Insert,739,500,19
Insert,740,500,19
Insert,741,600,17
Insert,742,500,17
Insert,743,700,23
Insert,744,600,21
Insert,745,500,21
Insert,746,500,19
Insert,747,700,21
Insert,748,500,17
Insert,749,600,23
Insert,750,600,21
Insert,751,600,21
Insert,752,700,25
Insert,753,600,21
Insert,754,500,19
Insert,755,600,21
Insert,756,600,19
Insert,757,600,19
Insert,758,600,23
Insert,759,600,23
Insert,760,600,19
Insert,761,500,21
Insert,762,1300,23
Insert,763,600,23
Insert,764,600,23
Insert,765,500,19
Insert,766,700,23
Insert,767,600,19
Insert,768,1300,19
Insert,769,600,17
Insert,770,600,19
Insert,771,500,21
Insert,772,700,23
Insert,773,9600,19
Insert,774,800,23
Insert,775,600,21
Insert,776,600,21
Insert,777,800,23
Insert,778,600,21
Insert,779,600,19
Insert,780,600,21
Insert,781,500,19
Insert,782,600,21
Insert,783,600,21
Insert,784,700,23
Insert,785,700,25
Insert,786,600,23
Insert,787,700,23
Insert,788,500,21
Insert,789,600,21
Insert,790,600,23
Insert,791,500,19
Insert,792,600,21
Insert,793,500,19
Insert,794,700,25
Insert,795,600,23
Insert,796,1200,23
Insert,797,600,21
Insert,798,600,19
Insert,799,600,21
Insert,800,600,21
Insert,801,600,19
Insert,802,600,21
Insert,803,600,21
Insert,804,500,19
Insert,805,700,27
Insert,806,500,19
Insert,807,600,21
Insert,808,600,21
Insert,809,600,19
Insert,810,600,21
Insert,811,600,23
Insert,812,600,19
Insert,813,500,19
Insert,814,600,21
Insert,815,600,21
Insert,816,600,23
Insert,817,600,23
Insert,818,700,23
Insert,819,500,19
Insert,820,600,19
Insert,821,500,19
Insert,822,600,19
Insert,823,500,19
Insert,824,600,23
Insert,825,900,23
Insert,826,600,21
Insert,827,600,21
Insert,828,500,17
Insert,829,600,21
Insert,830,600,23
Insert,831,700,23
Insert,832,600,21
Insert,833,700,23
Insert,834,500,23
Insert,835,600,21
Insert,836,700,21
Insert,837,600,21
Insert,838,500,19
Insert,839,600,17
Insert,840,1400,21
Insert,841,800,23
Insert,842,800,19
Insert,843,700,21
Insert,844,600,19
Insert,845,800,19
Insert,846,700,21
Insert,847,600,21
Insert,848,700,23
Insert,849,700,19
Insert,850,800,21
Insert,851,700,23
Insert,852,700,17
Insert,853,600,17
Insert,854,800,19
Insert,855,1000,25
Insert,856,900,23
Insert,857,800,19
Insert,858,900,21
Insert,859,700,23
Insert,860,700,21
Insert,861,500,21
Insert,862,600,21
Insert,863,700,25
Insert,864,1500,23
Insert,865,600,21
Insert,866,700,25
Insert,867,700,21
Insert,868,700,25
Insert,869,600,21
Insert,870,600,21
Insert,871,600,21
Insert,872,500,19
Insert,873,700,23
Insert,874,600,21
Insert,875,1100,19
Insert,876,700,21
Insert,877,700,23
Insert,878,500,19
Insert,879,600,19
Insert,880,700,25
Insert,881,600,23
Insert,882,600,21
Insert,883,500,19
Insert,884,500,23
Insert,885,500,19
Insert,886,600,19
Insert,887,700,21
Insert,888,600,23
Insert,889,1200,21
Insert,890,700,23
Insert,891,600,21
Insert,892,600,23
Insert,893,600,21
Insert,894,600,21
Insert,895,700,23
Insert,896,1500,21
Insert,897,700,21
Insert,898,600,19
Insert,899,600,21
Insert,900,600,23
Insert,901,600,17
Insert,902,800,23
Insert,903,600,21
Insert,904,500,21
Insert,905,700,25
Insert,906,500,19
Insert,907,700,27
Insert,908,600,23
Insert,909,600,21
Insert,910,500,19
Insert,911,600,21
Insert,912,500,17
Insert,913,500,21
Insert,914,700,25
Insert,915,700,25
Insert,916,600,19
Insert,917,700,21
Insert,918,600,19
Insert,919,700,19
Insert,920,700,25
Insert,921,600,21
Insert,922,500,21
Insert,923,600,23
Insert,924,600,21
Insert,925,800,25
Insert,926,600,21
Insert,927,500,17
Insert,928,500,19
Insert,929,600,23
Insert,930,600,21
Insert,931,700,27
Insert,932,600,21
Insert,933,600,21
Insert,934,500,19
Insert,935,700,23
Insert,936,600,23
Insert,937,500,19
Insert,938,600,23
Insert,939,600,23
Insert,940,600,21
Insert,941,600,23
Insert,942,600,21
Insert,943,600,21
Insert,944,600,19
Insert,945,600,21
Insert,946,600,19
Insert,947,600,23
Insert,948,600,25
Insert,949,500,19
Insert,950,700,23
Insert,951,500,17
Insert,952,500,17
Insert,953,600,19
Insert,954,600,21
Insert,955,600,21
Insert,956,600,23
Insert,957,500,23
Insert,958,1000,21
Insert,959,600,23
Insert,960,500,21
Insert,961,700,23
Insert,962,600,21
Insert,963,600,21
Insert,964,600,17
Insert,965,1400,25
Insert,966,700,23
Insert,967,500,16
Insert,968,600,23
Insert,969,500,21
Insert,970,600,23
Insert,971,700,23
Insert,972,600,21
Insert,973,500,19
Insert,974,600,21
Insert,975,600,19
Insert,976,1100,25
Insert,977,600,23
Insert,978,800,23
Insert,979,600,23
Insert,980,1100,23
Insert,981,600,25
Insert,982,600,21
Insert,983,700,25
Insert,984,500,21
Insert,985,600,19
Insert,986,800,23
Insert,987,600,19
Insert,988,600,21
Insert,989,600,23
Insert,990,600,21
Insert,991,600,27
Insert,992,600,19
Insert,993,600,21
Insert,994,500,19
Insert,995,500,19
Insert,996,600,21
Insert,997,600,21
Insert,998,600,23
Insert,999,500,23
Insert,1000,500,19
Insert,1001,600,25
Insert,1002,700,27
Insert,1003,500,21
Insert,1004,600,25
Insert,1005,600,23
Insert,1006,700,25
Insert,1007,600,21
Insert,1008,600,23
Insert,1009,600,27
Insert,1010,600,21
Insert,1011,600,21
Insert,1012,600,21
Insert,1013,600,21
Insert,1014,600,23
Insert,1015,600,21
Insert,1016,600,21
Insert,1017,600,23
Insert,1018,700,27
Insert,1019,500,19
Insert,1020,600,21
Insert,1021,600,23
Insert,1022,500,19
Insert,1023,600,21
Insert,1024,1700,23
Insert,1025,700,23
Insert,1026,600,25
Insert,1027,600,21
Insert,1028,700,25
Insert,1029,500,19
Insert,1030,600,21
Insert,1031,600,17
Insert,1032,600,19
Insert,1033,600,23
Insert,1034,600,17
Insert,1035,600,21
Insert,1036,2200,21
Insert,1037,600,23
Insert,1038,600,21
Insert,1039,600,21
Insert,1040,600,17
Insert,1041,600,20
Insert,1042,700,29
Insert,1043,700,23
Insert,1044,700,23
Insert,1045,600,21
Insert,1046,600,19
Insert,1047,500,17
Insert,1048,600,23
Insert,1049,600,23
Insert,1050,500,17
Insert,1051,700,19
Insert,1052,500,17
Insert,1053,600,23
Insert,1054,500,20
Insert,1055,1100,21
Insert,1056,800,25
Insert,1057,600,21
Insert,1058,600,21
Insert,1059,600,25
Insert,1060,600,23
Insert,1061,700,23
Insert,1062,700,25
Insert,1063,600,21
Insert,1064,1400,21
Insert,1065,500,17
Insert,1066,700,25
Insert,1067,700,23
Insert,1068,500,21
Insert,1069,600,21
Insert,1070,1200,19
Insert,1071,700,25
Insert,1072,800,27
Insert,1073,600,21
Insert,1074,1100,23
Insert,1075,700,25
Insert,1076,600,21
Insert,1077,700,25
Insert,1078,500,21
